what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1322421562391
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1322421565430
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1322421565430
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1322421565431
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1322421565431
stopped,bundle,org.eclipse.wst.server.preview,1.1.100.v20091208,"org.eclipse.wst.server.preview",1322421565431
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1322421565433
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1322421565434
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1322421565434
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1322421565454
stopped,bundle,org.maven.ide.eclipse.wtp,0.14.0.20110928-2045,"org.maven.ide.eclipse.wtp",1322421565454
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1322421565454
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1322421565454
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322421565455
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1322421565455
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1322421565455
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1322421567295
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1322421567295
stopped,bundle,com.springsource.sts.bestpractices,2.8.0.201110171000-RELEASE,"com.springsource.sts.bestpractices",1322421567295
stopped,bundle,com.springsource.sts.quickfix,2.8.0.201110171000-RELEASE,"com.springsource.sts.quickfix",1322421567296
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1322421567296
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1322421567346
stopped,bundle,org.springframework.ide.eclipse.beans.mylyn,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.mylyn",1322421567346
stopped,bundle,com.springsource.sts.config.flow,2.8.0.201110171000-RELEASE,"com.springsource.sts.config.flow",1322421567346
stopped,bundle,com.springsource.sts.config.core,2.8.0.201110171000-RELEASE,"com.springsource.sts.config.core",1322421567346
stopped,bundle,org.springframework.ide.eclipse.ajdt.ui.visualiser,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.ajdt.ui.visualiser",1322421567348
stopped,bundle,org.springframework.ide.eclipse.aop.mylyn,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.aop.mylyn",1322421567351
stopped,bundle,org.springframework.ide.eclipse.aop.ui.matcher,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.aop.ui.matcher",1322421567352
stopped,bundle,org.springframework.ide.eclipse.aop.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.aop.ui",1322421567352
stopped,bundle,org.springframework.ide.eclipse.batch,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.batch",1322421567352
stopped,bundle,com.springsource.sts.frameworks.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.frameworks.ui",1322421567352
stopped,bundle,org.springframework.ide.eclipse.security,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.security",1322421567352
stopped,bundle,org.springframework.ide.eclipse.aop.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.aop.core",1322421567429
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1322421567429
stopped,bundle,org.springframework.ide.eclipse.integration,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.integration",1322421567429
stopped,bundle,org.springframework.ide.eclipse.mylyn,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.mylyn",1322421567429
stopped,bundle,org.springframework.ide.eclipse.osgi,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.osgi",1322421567429
stopped,bundle,org.springframework.ide.eclipse.webflow.mylyn,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.webflow.mylyn",1322421567429
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1322421567429
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.webflow.ui.graph",1322421567429
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1322421567429
stopped,bundle,org.springframework.ide.eclipse.webflow.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.webflow.core",1322421567430
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1322421567430
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1322421567430
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1322421567430
stopped,bundle,com.springsource.sts.ide.metadata,2.8.0.201110171000-RELEASE,"com.springsource.sts.ide.metadata",1322421567431
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui",1322421567438
stopped,bundle,org.springframework.ide.eclipse.beans.core.metadata,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.core.metadata",1322421571683
stopped,bundle,org.springframework.ide.eclipse.beans.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.core",1322421571805
stopped,bundle,com.springsource.sts.content.core,2.8.0.201110171000-RELEASE,"com.springsource.sts.content.core",1322421571805
stopped,bundle,com.springsource.sts.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.ui",1322421571805
stopped,bundle,com.springsource.sts.core,2.8.0.201110171000-RELEASE,"com.springsource.sts.core",1322421571805
stopped,bundle,com.springsource.sts.ide.osgi,2.8.0.201110171000-RELEASE,"com.springsource.sts.ide.osgi",1322421571805
stopped,bundle,org.springframework.ide.eclipse.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.ui",1322421571805
stopped,bundle,org.springframework.ide.eclipse.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.core",1322421571805
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1322421571805
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxws.core",1322421571805
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201105111200,"org.eclipse.datatools.enablement.oda.ws.ui",1322421571805
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1322421571867
stopped,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1322421571867
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.2.v201106161731,"org.eclipse.datatools.enablement.oda.ws",1322421571868
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1322421571868
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1322421571868
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1322421571869
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.100.v201105030025,"org.eclipse.wst.xml.xpath.ui",1322421571871
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1322421571871
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1322421571871
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1322421571871
stopped,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1322421571872
stopped,bundle,org.eclipse.wst.xml.xpath.core,1.2.1.v201109010357,"org.eclipse.wst.xml.xpath.core",1322421571872
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201104211630,"org.eclipse.datatools.enablement.oda.xml.ui",1322421571872
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.1.v201104121500,"org.eclipse.datatools.enablement.oda.xml",1322421571872
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.600.v201104261451,"org.eclipse.jst.ejb.ui",1322421571872
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1322421571872
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1322421571872
stopped,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1322421571873
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1322421571873
stopped,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.400.v201004150700,"org.eclipse.jst.j2ee.jca.ui",1322421571889
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.ui,1.1.0.v201105110000,"org.eclipse.jpt.jaxb.eclipselink.ui",1322421571889
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1322421571890
stopped,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1322421571890
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1322421571890
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1322421571931
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1322421571931
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1322421571931
stopped,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1322421571931
stopped,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1322421571932
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1322421571932
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.100.v201104061711,"org.eclipse.jst.jsf.standard.tagsupport",1322421571932
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1322421571932
stopped,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1322421571932
stopped,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1322421571933
stopped,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1322421572209
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1322421572284
stopped,bundle,org.eclipse.wst.html.core,1.1.501.v201109080146,"org.eclipse.wst.html.core",1322421572284
stopped,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1322421572285
stopped,bundle,org.eclipse.wst.xml.xpath2.wtptypes,2.0.0.v201103212215,"org.eclipse.wst.xml.xpath2.wtptypes",1322421572303
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1322421572427
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1322421572427
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1322421572427
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1322421572427
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1322421572427
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1322421572427
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.2.2.v201105031140,"org.eclipse.jst.jsf.facesconfig",1322421572428
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1322421572428
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1322421572428
stopped,bundle,org.eclipse.m2e.model.edit,1.0.100.20110804-1717,"org.eclipse.m2e.model.edit",1322421572428
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.core,1.0.0.v201105180000,"org.eclipse.jpt.jaxb.eclipselink.core",1322421572428
stopped,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1322421572428
stopped,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1322421572428
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.200.v200909290826,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1322421572428
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.300.v201003112036,"org.eclipse.jst.j2ee.ejb.annotation.model",1322421572428
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1322421572428
stopped,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1322421572428
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.401.v201108230518,"org.eclipse.jst.ws.jaxrs.ui",1322421572428
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1322421572428
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.501.v201108231500,"org.eclipse.jst.j2ee.web",1322421572428
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.503.v201108102200,"org.eclipse.jst.j2ee.ejb",1322421572428
stopped,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1322421572428
stopped,bundle,org.eclipse.jpt.common.ui,1.0.0.v201104120000,"org.eclipse.jpt.common.ui",1322421572428
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core,2.0.1.v201108303010,"org.eclipse.jpt.jpa.eclipselink.core",1322421572428
stopped,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1322421572506
stopped,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1322421572506
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.500.v201108102200,"org.eclipse.jst.j2ee.jca",1322421572506
