what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1322441391904
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1322441391904
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1322441391904
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1322441391904
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1322441391904
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1322441391904
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110913-1156,"org.eclipse.emf.common.ui",1322441391904
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1322441391904
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1322441391904
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1322441391904
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1322441391904
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1322441391904
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1322441391904
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1322441391904
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1322441391904
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1322441391904
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1322441391904
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1322441391904
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1322441391904
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1322441391904
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1322441391904
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1322441391904
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1322441391904
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1322441391904
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1322441391904
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1322441391904
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1322441391904
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1322441391904
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1322441391904
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1322441391904
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1322441391904
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1322441391904
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1322441391904
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1322441391904
started,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1322441391904
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1322441391904
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1322441391904
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1322441391904
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1322441391904
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1322441391904
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1322441391904
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1322441391904
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1322441391904
started,bundle,com.springsource.sts,2.8.0.201110171000-RELEASE,"com.springsource.sts",1322441391904
started,bundle,com.springsource.sts.config.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.config.ui",1322441391904
started,bundle,com.springsource.sts.content.core,2.8.0.201110171000-RELEASE,"com.springsource.sts.content.core",1322441391904
started,bundle,com.springsource.sts.core,2.8.0.201110171000-RELEASE,"com.springsource.sts.core",1322441391904
started,bundle,com.springsource.sts.ide.configurator,2.8.0.201110171000-RELEASE,"com.springsource.sts.ide.configurator",1322441391904
started,bundle,com.springsource.sts.ide.help,2.8.0.201110171000-RELEASE,"com.springsource.sts.ide.help",1322441391904
started,bundle,com.springsource.sts.ide.metadata,2.8.0.201110171000-RELEASE,"com.springsource.sts.ide.metadata",1322441391904
started,bundle,com.springsource.sts.ide.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.ide.ui",1322441391904
started,bundle,com.springsource.sts.maven,2.8.0.201110171000-RELEASE,"com.springsource.sts.maven",1322441391904
started,bundle,com.springsource.sts.roo.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.roo.ui",1322441391904
started,bundle,com.springsource.sts.server.insight.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.server.insight.ui",1322441391904
started,bundle,com.springsource.sts.ui,2.8.0.201110171000-RELEASE,"com.springsource.sts.ui",1322441391905
started,bundle,com.springsource.sts.wizard,2.8.0.201110171000-RELEASE,"com.springsource.sts.wizard",1322441391905
started,bundle,org.aspectj.ajde,1.6.12.20111003171000,"org.aspectj.ajde",1322441391905
started,bundle,org.eclipse.ajdt.core,2.2.0.e37x-20111004-0800,"org.eclipse.ajdt.core",1322441391905
started,bundle,org.eclipse.ajdt.ui,2.2.0.e37x-20111004-0800,"org.eclipse.ajdt.ui",1322441391905
started,bundle,org.eclipse.contribution.weaving.jdt,2.2.0.e37x-20111004-0800,"org.eclipse.contribution.weaving.jdt",1322441391905
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.1.HEAD,"org.eclipse.equinox.weaving.aspectj",1322441391905
started,bundle,org.eclipse.equinox.weaving.caching,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching",1322441391905
started,bundle,org.eclipse.equinox.weaving.caching.j9,1.0.100.HEAD,"org.eclipse.equinox.weaving.caching.j9",1322441391905
started,bundle,org.springframework.ide.eclipse.aop.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.aop.core",1322441391905
started,bundle,org.springframework.ide.eclipse.aop.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.aop.ui",1322441391905
started,bundle,org.springframework.ide.eclipse.beans.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.core",1322441391905
started,bundle,org.springframework.ide.eclipse.beans.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.beans.ui",1322441391905
started,bundle,org.springframework.ide.eclipse.core,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.core",1322441391905
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1322441391905
started,bundle,org.springframework.ide.eclipse.ui,2.8.0.201110170010-RELEASE,"org.springframework.ide.eclipse.ui",1322441391905
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1322441391905
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1322441391905
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1322441391905
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.3.v20111026-0100,"org.eclipse.mylyn.tasks.ui",1322441391905
started,bundle,org.maven.ide.eclipse.wtp,0.14.0.20110928-2045,"org.maven.ide.eclipse.wtp",1322441391905
os,sysinfo,,,"linux",1322441391926
arch,sysinfo,,,"x86",1322441391926
ws,sysinfo,,,"gtk",1322441391927
locale,sysinfo,,,"en_US",1322441391927
processors,sysinfo,,,"1",1322441391927
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1322441391927
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1322441391927
java.specification.name,sysinfo,,,"Java Platform API Specification",1322441391927
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322441391927
java.specification.version,sysinfo,,,"1.6",1322441391927
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1322441391927
java.version,sysinfo,,,"1.6.0_23",1322441391927
java.vm.info,sysinfo,,,"mixed mode, sharing",1322441391927
java.vm.name,sysinfo,,,"OpenJDK Client VM",1322441391927
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322441391927
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322441391927
java.vm.specification.version,sysinfo,,,"1.0",1322441391927
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1322441391927
java.vm.version,sysinfo,,,"20.0-b11",1322441391927
